,Titulo,Resumen,Autores,Palabra Clave,Fechas
30,"20020210: Rock (1), panel (15)","Rock Art photograph, Panel (15R) - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']20[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:48:55Z - 2004-05-10T12:48:55Z - 2002-12-19 16:20:00 - 2004-05-10T12:48:55Z
31,"20020212: Rock (1), panel (15)","Rock Art photograph, Panel (15R) - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']20[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:48:58Z - 2004-05-10T12:48:58Z - 2002-12-19 16:20:00 - 2004-05-10T12:48:58Z
32,"20020215: Rock (1), panel (15)","Rock Art photograph, Panel (15R), details - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']20[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:49:01Z - 2004-05-10T12:49:01Z - 2002-12-19 16:25:00 - 2004-05-10T12:49:01Z
33,"20020216: Rock (1), panel (15)","Rock Art photograph, Panel (15R), details - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']20[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:49:05Z - 2004-05-10T12:49:05Z - 2002-12-19 16:25:00 - 2004-05-10T12:49:05Z
34,"20020218: Rock (1), panel (15)","Rock Art photograph, Panel (15R), details - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']20[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:49:10Z - 2004-05-10T12:49:10Z - 2002-12-19 16:25:00 - 2004-05-10T12:49:10Z
35,"20020222: Rock (1), panel (15)","Rock Art photograph, Panel (15R), details - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']20[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:49:13Z - 2004-05-10T12:49:13Z - 2002-12-19 16:25:00 - 2004-05-10T12:49:13Z
36,"20020224: Rock (1), panel (15)","Rock Art photograph, Panel (15R), details - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']20[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:49:17Z - 2004-05-10T12:49:17Z - 2002-12-19 16:25:00 - 2004-05-10T12:49:17Z
37,"20020226: Rock (1), panel (15)","Rock Art photograph, Panel (15R), details - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']20[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:49:21Z - 2004-05-10T12:49:21Z - 2002-12-19 16:25:00 - 2004-05-10T12:49:21Z
38,"20020228: Rock (1), panel (15)","Rock Art photograph, Panel (15R), details - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']20[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:49:24Z - 2004-05-10T12:49:24Z - 2002-12-19 16:25:00 - 2004-05-10T12:49:24Z
39,"20020230: Rock (1), panel (15)","Rock Art photograph, Panel (15R), details - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']20[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:49:29Z - 2004-05-10T12:49:29Z - 2002-12-19 16:25:00 - 2004-05-10T12:49:29Z
40,"20020232: Rock (1), panel (15)","Rock Art photograph, Panel (15R), details - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']20[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:49:33Z - 2004-05-10T12:49:33Z - 2002-12-19 16:25:00 - 2004-05-10T12:49:33Z
41,"20020233: Rock (1), panel (15)","Rock Art photograph, Panel (15R), details - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']20[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:49:36Z - 2004-05-10T12:49:36Z - 2002-12-19 16:25:00 - 2004-05-10T12:49:36Z
